Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8
-3667.719574356891,-4570.6040370501205,-3822.79354855666,-633.0960406436301,-2397.3483746005077,310.62275050946795,-1560.0701710290016,-3357.1554332154446
-2576.0527616913687,-4709.408019223974,-5471.280075041047,-564.651302995586,-2540.8649926239987,286.45712164114235,-1718.5765982118135,-3241.650929228367
-2375.2888150754616,-3756.5264095866696,-4245.558360324891,-740.2113038539487,-2179.4252098632423,260.8438735611566,-1061.9921478528322,-2852.521919550103
-3269.341132463932,-4838.079842759358,-4269.478063316155,-943.6108339504109,-2525.471788155691,64.54070811231777,-1421.5768735792362,-2625.769630004904
-2657.378975368012,-3703.1295647402562,-3530.1943950139867,-1214.833914985727,-3078.93514557469,238.72523656415166,-1805.7641561596106,-3379.7053941011554
-1544.211494485853,-4336.280580301682,-4101.302756324367,-1105.2896630108153,-2839.287318289252,368.57980017532526,-2168.2944016912725,-2792.5506285309925
-3949.3557190367537,-3549.7896261532514,-5419.040087825243,-773.3968378777209,-2577.0609602362665,183.8899260304916,-2196.7917937113643,-2942.815824460239
-4123.074361938683,-2553.8099792108833,-3845.5164571168298,-693.2298701490828,-2259.7854570013524,224.02397021051962,-745.3470015160293,-3677.919756719968
-3503.2775152904437,-3586.7650767005553,-3298.035721296061,-901.8493859320677,-1886.5251401184055,363.487908430762,-1877.5915440532617,-2467.661422895658
-3531.637223024657,-3752.5781658386386,-4461.565681847482,-682.920312470924,-2269.5010403872257,401.3595929852612,-1500.7670505866492,-3121.6595147167573
-1793.7565861902451,-3546.13750038018,-3387.996122102104,-553.210158594002,-1962.0518220837273,268.44534194191294,-2110.5339077233552,-2728.3614746414382
-4279.686284145797,-2878.780578100661,-4141.111212083456,-734.086782753755,-2318.008486995657,393.5702687370044,-1841.313902255426,-3767.1474682931307
-2909.1864919783748,-2829.1743568852407,-4021.279456529941,-505.0178799660226,-1884.997759905569,204.3658361302867,-1689.8356896802266,-3246.5234760951907
-2759.749953718806,-3207.6592936705842,-3964.0709364732415,-867.7510342125424,-2073.306643659871,272.468540022478,-1095.7872533132143,-2958.7793417952444
-3214.675713347494,-2639.173986900485,-4917.295695657678,-559.3286615853388,-2225.124833040554,526.5881979258725,-1850.1098139020673,-2007.8742923636148
-2738.9480726519355,-3714.987954923985,-4577.519441222525,-379.2820772647809,-1994.6316823164757,532.6650072604552,-1092.229064913895,-2651.5367155258537
-3587.3931851980847,-2274.765206855428,-3742.267024838364,-881.9008476806966,-1127.5812923206831,307.57535748155067,-717.4178050459583,-3106.138210796881
-3014.0052605557485,-3229.3408010605003,-3719.5021588390982,-342.39827842928037,-1514.7334173275588,301.06174157407224,-532.3414731089198,-3022.1705296240716
-3596.5825785489437,-2464.250407678982,-3851.6012354416225,-799.4973944937974,-2276.663653672173,240.5115924478726,-783.1297642521861,-3003.527878566446
-2788.5679597394965,-2656.371860378403,-4239.710270895344,-614.1059658984216,-2557.342303170216,382.10293241571827,-1977.423771780126,-2772.7609147680673
-2755.459834509563,-3213.716502667149,-4318.111550659596,-180.19221967866798,-2049.9590467943744,251.650092422681,-1609.158244586382,-2568.6235750432716
-3661.4448861031724,-2644.4278757652382,-4394.391860463442,-60.43273591624857,-1843.2203625816405,305.1197651736641,-1311.45695229377,-2717.441341923208
